State or Territory,State,Capital,Population,House Seats
California,TRUE,FALSE,39368078,53
Texas,TRUE,FALSE,29360759,38
Florida,TRUE,FALSE,21733312,28
New York,TRUE,FALSE,19336776,26
Pennsylvania,TRUE,FALSE,12783254,17
Illinois,TRUE,FALSE,12587530,17
Ohio,TRUE,FALSE,11693217,16
Georgia,TRUE,FALSE,10710017,14
North Carolina,TRUE,FALSE,10600823,14
Michigan,TRUE,FALSE,9966555,13
New Jersey,TRUE,FALSE,8882371,12
Virginia,TRUE,FALSE,8590563,11
Washington,TRUE,FALSE,7693612,10
Arizona,TRUE,FALSE,7421401,10
Massachusetts,TRUE,FALSE,6893574,9
Tennessee,TRUE,FALSE,6886834,9
Indiana,TRUE,FALSE,6754953,9
Missouri,TRUE,FALSE,6151548,8
Maryland,TRUE,FALSE,6055802,8
Wisconsin,TRUE,FALSE,5832655,8
Colorado,TRUE,FALSE,5807719,7
Minnesota,TRUE,FALSE,5657342,7
South Carolina,TRUE,FALSE,5218040,7
Alabama,TRUE,FALSE,4921532,7
Louisiana,TRUE,FALSE,4645318,6
Kentucky,TRUE,FALSE,4477251,6
Oregon,TRUE,FALSE,4241507,6
Oklahoma,TRUE,FALSE,3980783,5
Connecticut,TRUE,FALSE,3557006,5
Utah,TRUE,FALSE,3249879,4
Puerto Rico,FALSE,FALSE,3189068,0
Iowa,TRUE,FALSE,3163561,4
Nevada,TRUE,FALSE,3138259,4
Arkansas,TRUE,FALSE,3030522,4
Mississippi,TRUE,FALSE,2966786,4
Kansas,TRUE,FALSE,2913805,4
New Mexico,TRUE,FALSE,2106319,3
Nebraska,TRUE,FALSE,1937552,3
Idaho,TRUE,FALSE,1826913,2
West Virginia,TRUE,FALSE,1784787,2
Hawaii,TRUE,FALSE,1407006,2
New Hampshire,TRUE,FALSE,1366275,2
Maine,TRUE,FALSE,1350141,2
Montana,TRUE,FALSE,1080577,1
Rhode Island,TRUE,FALSE,1057125,1
Delaware,TRUE,FALSE,986809,1
South Dakota,TRUE,FALSE,892717,1
North Dakota,TRUE,FALSE,765309,1
Alaska,TRUE,FALSE,731158,1
District of Columbia,FALSE,TRUE,712816,0
Vermont,TRUE,FALSE,623347,1
Wyoming,TRUE,FALSE,582328,1
Guam,FALSE,FALSE,168485,0
U.S. Virgin Islands,FALSE,FALSE,106235,0
Northern Mariana Islands,FALSE,FALSE,51433,0
American Samoa,FALSE,FALSE,49437,0
